Scene,rater1,rater2,rater3,rater4,rater5,rater6,rater7,avg,var,,"How often could you find children here? 1: Never, 2: Rarely, 3: Sometimes, 4: Often, 5: Very often"
temple/western               ,3,3,3,2,3,3,3,2.86,0.14,,
coast_road                   ,2,3,3,3,3,3,3,2.86,0.14,,
road                         ,2,3,3,3,3,3,3,2.86,0.14,,
rope_bridge                  ,2,3,3,3,3,3,3,2.86,0.14,,
sunroom                      ,2,3,3,3,3,3,3,2.86,0.14,,
bookshelf                    ,4,3,2,2,3,3,3,2.86,0.48,,
dance_floor                  ,4,3,2,2,3,3,3,2.86,0.48,,
nook                         ,4,3,2,2,3,3,3,2.86,0.48,,
attic                        ,4,3,2,3,3,3,2,2.86,0.48,,
balustrade                   ,3,3,2,3,4,3,2,2.86,0.48,,
box_seat                     ,4,3,3,2,3,3,2,2.86,0.48,,
closet                       ,4,3,2,3,3,3,2,2.86,0.48,,
natural_spring               ,4,3,3,2,3,3,2,2.86,0.48,,
newsstand/indoor             ,4,3,3,2,3,3,2,2.86,0.48,,
palace                       ,4,3,3,2,3,3,2,2.86,0.48,,
palace_hall                  ,4,3,3,2,3,3,2,2.86,0.48,,
terrace_farm                 ,4,3,3,2,3,3,2,2.86,0.48,,
chapel                       ,4,2,3,3,2,2,4,2.86,0.81,,
pond                         ,4,2,3,3,2,2,4,2.86,0.81,,
shelter                      ,3,3,3,3,1,3,4,2.86,0.81,,
batting_cage/outdoor         ,3,2,3,4,4,2,2,2.86,0.81,,
lecture_room                 ,4,2,4,3,2,2,3,2.86,0.81,,
shoe_shop                    ,4,2,3,2,4,2,3,2.86,0.81,,
hedgerow                     ,4,3,3,3,3,3,1,2.86,0.81,,
mesa                         ,4,3,3,3,3,3,1,2.86,0.81,,
riding_arena                 ,4,3,3,3,3,3,1,2.86,0.81,,
delicatessen                 ,5,2,3,3,2,2,3,2.86,1.14,,
gazebo/interior              ,5,2,3,3,2,2,3,2.86,1.14,,
lobby                        ,5,2,3,3,2,2,3,2.86,1.14,,
vegetable_garden             ,5,2,3,3,2,2,3,2.86,1.14,,
galley                       ,3,4,2,2,4,4,1,2.86,1.48,,
hut                          ,5,2,3,2,2,2,4,2.86,1.48,,
washhouse/indoor             ,5,3,3,1,3,3,2,2.86,1.48,,
washhouse/outdoor            ,5,3,3,1,3,3,2,2.86,1.48,,
backstairs_indoor            ,3,3,2,3,3,3,2,2.71,0.24,,
cellar                       ,3,3,2,3,3,3,2,2.71,0.24,,
cemetery                     ,3,3,2,2,3,3,3,2.71,0.24,,
corral                       ,3,3,2,3,3,3,2,2.71,0.24,,
fairway                      ,3,3,2,3,3,3,2,2.71,0.24,,
passage/outdoor              ,3,3,2,2,3,3,3,2.71,0.24,,
tract_housing                ,3,3,2,2,3,3,3,2.71,0.24,,
bayou                        ,3,3,3,2,3,3,2,2.71,0.24,,
bus_depot/indoor             ,3,3,3,2,3,3,2,2.71,0.24,,
bus_depot/outdoor            ,3,3,3,2,3,3,2,2.71,0.24,,
great_hall                   ,3,3,3,2,3,3,2,2.71,0.24,,
jetty                        ,3,3,3,2,3,3,2,2.71,0.24,,
joss_house                   ,3,3,3,2,3,3,2,2.71,0.24,,
lighthouse                   ,3,3,3,2,3,3,2,2.71,0.24,,
piste_road                   ,3,3,3,2,3,3,2,2.71,0.24,,
roundhouse                   ,3,3,3,2,3,3,2,2.71,0.24,,
zen_garden                   ,3,3,3,2,3,3,2,2.71,0.24,,
barndoor                     ,3,2,3,3,3,2,3,2.71,0.24,,
basin_outdoor                ,3,3,3,2,2,3,3,2.71,0.24,,
shelter_tent                 ,3,3,3,2,2,3,3,2.71,0.24,,
coffee_shop                  ,4,3,2,2,3,3,2,2.71,0.57,,
stall                        ,4,3,2,2,3,3,2,2.71,0.57,,
strand                       ,4,3,2,2,3,3,2,2.71,0.57,,
creek                        ,4,2,3,3,2,2,3,2.71,0.57,,
field_house                  ,4,2,3,3,2,2,3,2.71,0.57,,
hill                         ,4,2,3,3,2,2,3,2.71,0.57,,
locker_room                  ,4,2,3,3,2,2,3,2.71,0.57,,
poolroom/home                ,4,2,2,3,3,2,3,2.71,0.57,,
shelter_deck                 ,3,3,3,3,1,3,3,2.71,0.57,,
teahouse                     ,4,2,3,3,2,2,3,2.71,0.57,,
tearoom                      ,4,2,3,3,2,2,3,2.71,0.57,,
temple/mesoamerican          ,3,3,3,1,3,3,3,2.71,0.57,,
ticket_booth                 ,4,2,3,3,2,2,3,2.71,0.57,,
topiary_garden               ,4,2,3,3,2,2,3,2.71,0.57,,
barnyard                     ,4,2,3,3,3,2,2,2.71,0.57,,
batting_cage/indoor          ,3,2,3,4,3,2,2,2.71,0.57,,
flume_indoor                 ,3,2,3,3,2,2,4,2.71,0.57,,
observatory/outdoor          ,3,2,3,3,2,2,4,2.71,0.57,,
pontoon_bridge               ,3,3,3,3,3,3,1,2.71,0.57,,
salon                        ,3,2,3,3,2,2,4,2.71,0.57,,
waterscape                   ,3,2,3,3,2,2,4,2.71,0.57,,
baptistry/indoor             ,4,2,2,3,2,2,4,2.71,0.90,,
breakroom                    ,4,2,3,2,2,2,4,2.71,0.90,,
crosswalk                    ,2,2,3,4,2,2,4,2.71,0.90,,
hot_spring                   ,4,2,3,2,2,2,4,2.71,0.90,,
hot_tub/outdoor              ,4,2,2,3,2,2,4,2.71,0.90,,
jacuzzi/outdoor              ,4,2,2,3,2,2,4,2.71,0.90,,
plantation_house             ,4,2,3,2,2,2,4,2.71,0.90,,
preserve                     ,4,2,3,2,2,2,4,2.71,0.90,,
security_check_point         ,3,2,2,2,4,2,4,2.71,0.90,,
suite                        ,2,3,3,1,3,3,4,2.71,0.90,,
bamboo_forest                ,4,2,2,3,4,2,2,2.71,0.90,,
bank/indoor                  ,4,2,2,2,4,2,3,2.71,0.90,,
bank/outdoor                 ,4,2,2,2,4,2,3,2.71,0.90,,
beauty_salon                 ,4,2,3,2,4,2,2,2.71,0.90,,
music_store                  ,4,2,3,4,2,2,2,2.71,0.90,,
pantry                       ,4,2,3,4,2,2,2,2.71,0.90,,
swimming_hole                ,4,2,4,3,2,2,2,2.71,0.90,,
motel                        ,5,2,3,2,2,2,3,2.71,1.24,,
snowbank                     ,3,2,3,4,4,2,1,2.71,1.24,,
banquet_hall                 ,3,2,2,2,5,2,3,2.71,1.24,,
ocean                        ,5,2,3,3,2,2,2,2.71,1.24,,
woodland                     ,5,2,2,3,3,2,2,2.71,1.24,,
sewing_room                  ,3,2,3,2,3,2,3,2.57,0.29,,
shrine                       ,3,2,3,2,3,2,3,2.57,0.29,,
sushi_bar                    ,3,2,2,3,3,2,3,2.57,0.29,,
artists_loft                 ,3,3,2,2,3,3,2,2.57,0.29,,
auto_showroom                ,3,3,2,2,3,3,2,2.57,0.29,,
caravansary                  ,2,3,2,2,3,3,3,2.57,0.29,,
dairy/outdoor                ,2,3,3,2,3,3,2,2.57,0.29,,
dock                         ,3,2,3,3,2,2,3,2.57,0.29,,
fabric_store                 ,3,2,3,3,2,2,3,2.57,0.29,,
fence                        ,3,2,3,3,2,2,3,2.57,0.29,,
kennel/indoor                ,3,3,2,2,3,3,2,2.57,0.29,,
kennel/outdoor               ,3,3,2,2,3,3,2,2.57,0.29,,
observatory/indoor           ,3,2,3,3,2,2,3,2.57,0.29,,
ramp                         ,3,2,3,3,2,2,3,2.57,0.29,,
revolving_door               ,3,2,3,3,2,2,3,2.57,0.29,,
storm_cellar                 ,2,3,2,3,3,3,2,2.57,0.29,,
bog                          ,3,3,3,2,3,3,1,2.57,0.62,,
diving_board                 ,3,2,3,4,2,2,2,2.57,0.62,,
embassy                      ,3,3,2,3,3,3,1,2.57,0.62,,
field/cultivated             ,4,2,3,3,2,2,2,2.57,0.62,,
forest/broadleaf             ,4,2,3,3,2,2,2,2.57,0.62,,
forest/needleleaf            ,4,2,3,3,2,2,2,2.57,0.62,,
forest_path                  ,4,2,3,3,2,2,2,2.57,0.62,,
greenhouse/indoor            ,4,2,3,3,2,2,2,2.57,0.62,,
greenhouse/outdoor           ,4,2,3,3,2,2,2,2.57,0.62,,
grove                        ,4,2,3,3,2,2,2,2.57,0.62,,
harbor                       ,3,3,3,2,3,3,1,2.57,0.62,,
hearth                       ,4,2,3,3,2,2,2,2.57,0.62,,
herb_garden                  ,4,2,3,3,2,2,2,2.57,0.62,,
lagoon                       ,3,3,3,2,3,3,1,2.57,0.62,,
marsh                        ,3,3,3,2,3,3,1,2.57,0.62,,
mess_hall                    ,4,2,3,3,2,2,2,2.57,0.62,,
mezzanine                    ,4,2,3,3,2,2,2,2.57,0.62,,
portrait_studio              ,4,2,3,3,2,2,2,2.57,0.62,,
putting_green                ,4,2,3,3,2,2,2,2.57,0.62,,
stable                       ,3,3,3,3,2,3,1,2.57,0.62,,
tree_farm                    ,4,2,3,3,2,2,2,2.57,0.62,,
underwater/ocean_shallow     ,3,2,4,3,2,2,2,2.57,0.62,,
valley                       ,4,2,3,3,2,2,2,2.57,0.62,,
car_interior/frontseat       ,4,2,2,3,2,2,3,2.57,0.62,,
carport/indoor               ,4,2,2,3,2,2,3,2.57,0.62,,
hot_tub/indoor               ,4,2,2,3,2,2,3,2.57,0.62,,
jacuzzi/indoor               ,4,2,2,3,2,2,3,2.57,0.62,,
penthouse                    ,4,2,3,2,2,2,3,2.57,0.62,,
skyscraper                   ,3,2,3,2,4,2,2,2.57,0.62,,
tea_garden                   ,4,2,3,2,2,2,3,2.57,0.62,,
vestibule                    ,4,2,3,2,2,2,3,2.57,0.62,,
bullpen                      ,3,3,3,1,3,3,2,2.57,0.62,,
butchers_shop                ,3,2,2,3,2,2,4,2.57,0.62,,
hat_shop                     ,3,2,3,2,2,2,4,2.57,0.62,,
hutment                      ,3,2,3,2,2,2,4,2.57,0.62,,
lookout_station/indoor       ,3,3,3,1,3,3,2,2.57,0.62,,
lookout_station/outdoor      ,3,3,3,1,3,3,2,2.57,0.62,,
one-way_street               ,2,2,3,3,2,2,4,2.57,0.62,,
pallet/indoor                ,3,2,3,2,2,2,4,2.57,0.62,,
parlor                       ,3,2,3,2,2,2,4,2.57,0.62,,
access_road                  ,3,3,2,1,4,3,2,2.57,0.95,,
bomb_shelter/indoor          ,4,3,2,2,3,3,1,2.57,0.95,,
pub/outdoor                  ,4,3,2,1,3,3,2,2.57,0.95,,
optician                     ,4,2,2,2,2,2,4,2.57,0.95,,
art_studio                   ,5,2,2,3,2,2,2,2.57,1.29,,
parkway                      ,5,2,3,2,2,2,2,2.57,1.29,,
bathhouse                    ,4,2,3,1,4,2,2,2.57,1.29,,
bathhouse_outdoor            ,4,2,3,1,4,2,2,2.57,1.29,,
student_residence            ,4,2,3,1,2,2,4,2.57,1.29,,
vinery                       ,5,2,2,2,2,2,3,2.57,1.29,,
batters_box                  ,3,2,2,3,3,2,2,2.43,0.29,,
oast_house                   ,3,2,3,2,3,2,2,2.43,0.29,,
print_shop                   ,3,2,3,2,3,2,2,2.43,0.29,,
scullery                     ,2,3,3,2,2,3,2,2.43,0.29,,
semidesert                   ,3,2,3,2,3,2,2,2.43,0.29,,
wetland                      ,3,2,3,2,3,2,2,2.43,0.29,,
wheat_field                  ,3,2,3,2,3,2,2,2.43,0.29,,
backdrop                     ,3,2,2,3,2,2,3,2.43,0.29,,
cavern/indoor                ,2,3,2,2,3,3,2,2.43,0.29,,
cavern/outdoor               ,2,3,2,2,3,3,2,2.43,0.29,,
choir_loft/exterior          ,3,2,2,3,2,2,3,2.43,0.29,,
choir_loft/interior          ,3,2,2,3,2,2,3,2.43,0.29,,
cubicle/library              ,3,2,3,3,2,2,2,2.43,0.29,,
dress_shop                   ,3,2,3,2,2,2,3,2.43,0.29,,
field_road                   ,3,2,3,2,2,2,3,2.43,0.29,,
fireplace                    ,3,2,3,2,2,2,3,2.43,0.29,,
forecourt                    ,3,2,3,3,2,2,2,2.43,0.29,,
foreshore                    ,3,2,3,3,2,2,2,2.43,0.29,,
geodesic_dome/indoor         ,3,2,3,3,2,2,2,2.43,0.29,,
geodesic_dome/outdoor        ,3,2,3,3,2,2,2,2.43,0.29,,
grape_arbor                  ,3,2,3,3,2,2,2,2.43,0.29,,
guildhall                    ,3,2,3,2,2,2,3,2.43,0.29,,
hen_yard                     ,3,2,3,2,2,2,3,2.43,0.29,,
jewelry_shop                 ,3,2,3,2,2,2,3,2.43,0.29,,
loggia/outdoor               ,3,2,3,3,2,2,2,2.43,0.29,,
medina                       ,3,2,3,2,2,2,3,2.43,0.29,,
mews                         ,3,2,3,2,2,2,3,2.43,0.29,,
mission                      ,3,2,3,3,2,2,2,2.43,0.29,,
outbuilding                  ,3,2,2,3,2,2,3,2.43,0.29,,
outcropping                  ,3,2,3,3,2,2,2,2.43,0.29,,
parking_garage/indoor        ,3,2,3,3,2,2,2,2.43,0.29,,
parking_garage/outdoor       ,3,2,3,3,2,2,2,2.43,0.29,,
parking_lot                  ,3,2,3,3,2,2,2,2.43,0.29,,
phone_booth                  ,3,2,3,2,2,2,3,2.43,0.29,,
pitchers_mound               ,3,2,3,3,2,2,2,2.43,0.29,,
portico                      ,3,2,3,2,2,2,3,2.43,0.29,,
powder_room                  ,3,2,3,2,2,2,3,2.43,0.29,,
rectory                      ,3,2,3,3,2,2,2,2.43,0.29,,
stone_circle                 ,3,2,3,3,2,2,2,2.43,0.29,,
tower                        ,3,2,3,2,2,2,3,2.43,0.29,,
waterway                     ,2,2,3,2,3,2,3,2.43,0.29,,
wharf                        ,3,2,3,2,2,2,3,2.43,0.29,,
windmill                     ,3,2,3,3,2,2,2,2.43,0.29,,
artists_loft/questionable    ,3,3,2,1,3,3,2,2.43,0.62,,
ballroom                     ,3,2,2,2,4,2,2,2.43,0.62,,
canal/urban                  ,3,3,2,1,3,3,2,2.43,0.62,,
carport/freestanding         ,4,2,2,3,2,2,2,2.43,0.62,,
carport/outdoor              ,4,2,2,3,2,2,2,2.43,0.62,,
dam                          ,1,3,3,2,3,3,2,2.43,0.62,,
field_tent_indoor            ,3,2,4,2,2,2,2,2.43,0.62,,
field_tent_outdoor           ,3,2,4,2,2,2,2,2.43,0.62,,
forest_road                  ,4,2,3,2,2,2,2,2.43,0.62,,
golf_course                  ,4,2,3,2,2,2,2,2.43,0.62,,
lean-to_tent                 ,4,2,3,2,2,2,2,2.43,0.62,,
moor                         ,4,2,3,2,2,2,2,2.43,0.62,,
nursing_home                 ,4,2,2,3,2,2,2,2.43,0.62,,
nursing_home_outdoor         ,4,2,2,3,2,2,2,2.43,0.62,,
outhouse/indoor              ,4,2,3,2,2,2,2,2.43,0.62,,
outhouse/outdoor             ,4,2,3,2,2,2,2,2.43,0.62,,
pagoda                       ,4,2,3,2,2,2,2,2.43,0.62,,
squash_court                 ,4,2,3,2,2,2,2,2.43,0.62,,
vestry                       ,4,2,3,2,2,2,2,2.43,0.62,,
victory_garden               ,4,2,3,2,2,2,2,2.43,0.62,,
vineyard                     ,4,2,2,3,2,2,2,2.43,0.62,,
bicycle_racks                ,2,3,2,3,3,3,1,2.43,0.62,,
dairy/indoor                 ,2,3,3,2,3,3,1,2.43,0.62,,
formal_garden                ,4,2,2,2,2,2,3,2.43,0.62,,
freeway                      ,2,3,2,3,3,3,1,2.43,0.62,,
highway                      ,2,3,2,3,3,3,1,2.43,0.62,,
home_office                  ,4,2,2,2,2,2,3,2.43,0.62,,
laboratorywet                ,2,3,2,3,3,3,1,2.43,0.62,,
fjord                        ,4,2,3,3,2,2,1,2.43,0.95,,
floating_dock                ,3,2,4,3,2,2,1,2.43,0.95,,
glade                        ,4,2,3,3,2,2,1,2.43,0.95,,
hayfield                     ,4,2,3,3,2,2,1,2.43,0.95,,
hillock                      ,4,2,3,3,2,2,1,2.43,0.95,,
hollow                       ,4,2,3,3,2,2,1,2.43,0.95,,
shrubbery                    ,3,2,3,2,1,2,4,2.43,0.95,,
snowfield                    ,3,2,3,4,2,2,1,2.43,0.95,,
abbey                        ,4,2,2,1,4,2,2,2.43,1.29,,
workshop                     ,2,2,2,2,3,2,3,2.29,0.24,,
backroom                     ,3,2,3,2,2,2,2,2.29,0.24,,
backstage                    ,3,2,3,2,2,2,2,2.29,0.24,,
bulkhead                     ,3,2,3,2,2,2,2,2.29,0.24,,
chicken_coop/indoor          ,3,2,2,3,2,2,2,2.29,0.24,,
chicken_coop/outdoor         ,3,2,2,3,2,2,2,2.29,0.24,,
covered_bridge/exterior      ,3,2,3,2,2,2,2,2.29,0.24,,
covered_bridge/interior      ,3,2,3,2,2,2,2,2.29,0.24,,
desert_road                  ,2,2,3,2,2,2,3,2.29,0.24,,
estaminet                    ,3,2,2,3,2,2,2,2.29,0.24,,
gorge                        ,2,2,3,3,2,2,2,2.29,0.24,,
gulch                        ,3,2,3,2,2,2,2,2.29,0.24,,
jungle                       ,3,2,3,2,2,2,2,2.29,0.24,,
loge                         ,3,2,3,2,2,2,2,2.29,0.24,,
megalith                     ,3,2,3,2,2,2,2,2.29,0.24,,
mens_store_outdoor           ,3,2,3,2,2,2,2,2.29,0.24,,
merlon                       ,3,2,3,2,2,2,2,2.29,0.24,,
millpond                     ,3,2,3,2,2,2,2,2.29,0.24,,
millrace                     ,3,2,3,2,2,2,2,2.29,0.24,,
moat/dry                     ,3,2,3,2,2,2,2,2.29,0.24,,
mountain                     ,3,2,3,2,2,2,2,2.29,0.24,,
mountain_path                ,3,2,3,2,2,2,2,2.29,0.24,,
mountain_road                ,3,2,3,2,2,2,2,2.29,0.24,,
mudflat                      ,3,2,3,2,2,2,2,2.29,0.24,,
music_studio                 ,3,2,3,2,2,2,2,2.29,0.24,,
palestra                     ,3,2,3,2,2,2,2,2.29,0.24,,
perfume_shop                 ,3,2,3,2,2,2,2,2.29,0.24,,
pinetum                      ,3,2,3,2,2,2,2,2.29,0.24,,
poop_deck                    ,3,2,2,3,2,2,2,2.29,0.24,,
postern                      ,3,2,3,2,2,2,2,2.29,0.24,,
priory                       ,3,2,3,2,2,2,2,2.29,0.24,,
quadrangle                   ,2,2,3,2,2,2,3,2.29,0.24,,
racecourse                   ,3,2,3,2,2,2,2,2.29,0.24,,
rainforest                   ,3,2,3,2,2,2,2,2.29,0.24,,
root_cellar                  ,3,2,2,3,2,2,2,2.29,0.24,,
sauna                        ,3,2,2,3,2,2,2,2.29,0.24,,
savanna                      ,3,2,3,2,2,2,2,2.29,0.24,,
scriptorium                  ,3,2,3,2,2,2,2,2.29,0.24,,
underwater/coral_reef        ,3,2,2,3,2,2,2,2.29,0.24,,
waterfall/cascade            ,2,2,3,3,2,2,2,2.29,0.24,,
wave                         ,2,2,3,3,2,2,2,2.29,0.24,,
wrestling_ring/indoor        ,3,2,3,2,2,2,2,2.29,0.24,,
apse/indoor                  ,3,2,2,2,2,2,3,2.29,0.24,,
apse/outdoor                 ,3,2,2,2,2,2,3,2.29,0.24,,
backstage_outdoor            ,3,2,2,2,2,2,3,2.29,0.24,,
bypass                       ,2,2,2,3,2,2,3,2.29,0.24,,
chicken_farm/indoor          ,3,2,2,2,2,2,3,2.29,0.24,,
chicken_farm/outdoor         ,3,2,2,2,2,2,3,2.29,0.24,,
cloister/indoor              ,3,2,2,2,2,2,3,2.29,0.24,,
cloister/outdoor             ,3,2,2,2,2,2,3,2.29,0.24,,
customhouse                  ,3,2,2,2,2,2,3,2.29,0.24,,
hunting_lodge/indoor         ,3,2,2,2,2,2,3,2.29,0.24,,
limousine_interior           ,3,2,2,2,2,2,3,2.29,0.24,,
mental_institution/outdoor   ,3,2,2,2,2,2,3,2.29,0.24,,
refectory                    ,3,2,2,2,2,2,3,2.29,0.24,,
taxistand                    ,3,2,2,2,2,2,3,2.29,0.24,,
truck_stop                   ,3,2,2,2,2,2,3,2.29,0.24,,
spa/massage_room             ,3,2,2,2,3,2,2,2.29,0.24,,
spa/mineral_bath             ,3,2,2,2,3,2,2,2.29,0.24,,
storage_room                 ,3,2,2,2,3,2,2,2.29,0.24,,
wind_farm                    ,3,2,2,2,3,2,2,2.29,0.24,,
gatehouse                    ,3,2,3,1,2,2,3,2.29,0.57,,
brickyard/indoor             ,2,2,4,2,2,2,2,2.29,0.57,,
brickyard/outdoor            ,2,2,4,2,2,2,2,2.29,0.57,,
bullring                     ,1,3,2,2,3,3,2,2.29,0.57,,
catacomb                     ,2,3,1,2,3,3,2,2.29,0.57,,
cybercafe                    ,4,2,2,2,2,2,2,2.29,0.57,,
monastery/indoor             ,4,2,2,2,2,2,2,2.29,0.57,,
monastery/outdoor            ,4,2,2,2,2,2,2,2.29,0.57,,
nunnery                      ,4,2,2,2,2,2,2,2.29,0.57,,
observation_station          ,3,2,3,2,3,2,1,2.29,0.57,,
observatory_post             ,3,2,3,2,3,2,1,2.29,0.57,,
poolroom/establishment       ,4,2,2,2,2,2,2,2.29,0.57,,
rice_paddy                   ,4,2,2,2,2,2,2,2.29,0.57,,
rotisserie                   ,2,3,2,1,3,3,2,2.29,0.57,,
seawall                      ,2,2,2,2,4,2,2,2.29,0.57,,
traffic_island               ,4,2,2,2,2,2,2,2.29,0.57,,
bric-a-brac                  ,2,2,2,2,2,2,4,2.29,0.57,,
cockpit                      ,2,3,2,2,3,3,1,2.29,0.57,,
dugout                       ,3,2,3,3,2,2,1,2.29,0.57,,
fly_bridge                   ,3,2,3,3,2,2,1,2.29,0.57,,
hayloft                      ,3,2,3,3,2,2,1,2.29,0.57,,
heronry                      ,3,2,3,3,2,2,1,2.29,0.57,,
ice_shelf                    ,2,3,2,2,3,3,1,2.29,0.57,,
landing                      ,3,2,3,3,2,2,1,2.29,0.57,,
layby                        ,3,2,3,3,2,2,1,2.29,0.57,,
mausoleum                    ,2,3,2,2,3,3,1,2.29,0.57,,
aqueduct                     ,3,3,2,1,3,3,1,2.29,0.90,,
beer_garden                  ,3,3,2,1,3,3,1,2.29,0.90,,
canal/natural                ,3,3,2,1,3,3,1,2.29,0.90,,
field/wild                   ,4,2,3,2,2,2,1,2.29,0.90,,
glen                         ,4,2,3,2,2,2,1,2.29,0.90,,
grotto                       ,4,2,3,2,2,2,1,2.29,0.90,,
lean-to                      ,4,2,3,2,2,2,1,2.29,0.90,,
oasis                        ,4,2,3,2,2,2,1,2.29,0.90,,
belfry                       ,2,2,2,2,2,2,3,2.14,0.14,,
clock_tower/indoor           ,2,2,2,2,2,2,3,2.14,0.14,,
desert/sand                  ,2,2,3,2,2,2,2,2.14,0.14,,
desert/vegetation            ,2,2,3,2,2,2,2,2.14,0.14,,
landing_deck                 ,2,2,2,2,2,2,3,2.14,0.14,,
meat_house                   ,2,2,3,2,2,2,2,2.14,0.14,,
pig_farm                     ,2,2,2,2,2,2,3,2.14,0.14,,
restaurant_kitchen           ,2,2,3,2,2,2,2,2.14,0.14,,
rock_arch                    ,2,2,3,2,2,2,2,2.14,0.14,,
roof                         ,2,2,2,2,2,2,3,2.14,0.14,,
roundabout                   ,2,2,3,2,2,2,2,2.14,0.14,,
signal_box                   ,2,2,3,2,2,2,2,2.14,0.14,,
toll_plaza                   ,2,2,2,2,2,2,3,2.14,0.14,,
trellis                      ,2,2,2,2,2,2,3,2.14,0.14,,
water_mill                   ,2,2,3,2,2,2,2,2.14,0.14,,
waterfall/fan                ,2,2,2,2,3,2,2,2.14,0.14,,
wrestling_ring/outdoor       ,2,2,3,2,2,2,2,2.14,0.14,,
ruin                         ,2,2,2,3,2,2,2,2.14,0.14,,
sea_cliff                    ,2,2,2,3,2,2,2,2.14,0.14,,
waterfall/block              ,2,2,2,3,2,2,2,2.14,0.14,,
chaparral                    ,3,2,2,2,2,2,2,2.14,0.14,,
conference_center            ,3,2,2,2,2,2,2,2.14,0.14,,
conference_hall              ,3,2,2,2,2,2,2,2.14,0.14,,
conference_room              ,3,2,2,2,2,2,2,2.14,0.14,,
confessional                 ,3,2,2,2,2,2,2,2.14,0.14,,
courtroom                    ,3,2,2,2,2,2,2,2.14,0.14,,
driving_range/indoor         ,3,2,2,2,2,2,2,2.14,0.14,,
driving_range/outdoor        ,3,2,2,2,2,2,2,2.14,0.14,,
embankment                   ,3,2,2,2,2,2,2,2.14,0.14,,
fortress                     ,3,2,2,2,2,2,2,2.14,0.14,,
gangplank                    ,3,2,2,2,2,2,2,2.14,0.14,,
howdah                       ,3,2,2,2,2,2,2,2.14,0.14,,
hunting_lodge/outdoor        ,3,2,2,2,2,2,2,2.14,0.14,,
inlet                        ,3,2,2,2,2,2,2,2.14,0.14,,
mental_institution/indoor    ,3,2,2,2,2,2,2,2.14,0.14,,
morass                       ,3,2,2,2,2,2,2,2.14,0.14,,
orlop_deck                   ,3,2,2,2,2,2,2,2.14,0.14,,
pulpit                       ,3,2,2,2,2,2,2,2.14,0.14,,
throne_room                  ,3,2,2,2,2,2,2,2.14,0.14,,
velodrome/indoor             ,3,2,2,2,2,2,2,2.14,0.14,,
velodrome/outdoor            ,3,2,2,2,2,2,2,2.14,0.14,,
archive                      ,3,2,3,2,2,2,1,2.14,0.48,,
bottomland                   ,3,2,3,2,2,2,1,2.14,0.48,,
butte                        ,3,2,2,3,2,2,1,2.14,0.48,,
clean_room                   ,2,2,3,3,2,2,1,2.14,0.48,,
courthouse                   ,3,2,2,3,2,2,1,2.14,0.48,,
dirt_track                   ,3,2,3,2,2,2,1,2.14,0.48,,
donjon                       ,3,2,3,2,2,2,1,2.14,0.48,,
feed_bunk                    ,3,2,3,2,2,2,1,2.14,0.48,,
flashflood                   ,3,2,2,3,2,2,1,2.14,0.48,,
floating_dry_dock            ,3,2,3,2,2,2,1,2.14,0.48,,
flood_plain                  ,3,2,2,3,2,2,1,2.14,0.48,,
hatchway                     ,3,2,3,2,2,2,1,2.14,0.48,,
islet                        ,3,2,3,2,2,2,1,2.14,0.48,,
lift_bridge                  ,3,2,3,2,2,2,1,2.14,0.48,,
mastaba                      ,3,2,3,2,2,2,1,2.14,0.48,,
moat/water                   ,3,2,3,2,2,2,1,2.14,0.48,,
raceway                      ,3,2,3,2,2,2,1,2.14,0.48,,
rift_valley                  ,3,2,3,2,2,2,1,2.14,0.48,,
science_laboratory           ,3,2,2,3,2,2,1,2.14,0.48,,
ski_jump                     ,3,2,3,2,2,2,1,2.14,0.48,,
trestle_bridge               ,3,2,3,2,2,2,1,2.14,0.48,,
ziggurat                     ,3,2,2,3,2,2,1,2.14,0.48,,
granary                      ,3,2,3,1,2,2,2,2.14,0.48,,
hatchery                     ,3,2,3,1,2,2,2,2.14,0.48,,
imaret                       ,3,2,3,1,2,2,2,2.14,0.48,,
lower_deck                   ,3,2,3,1,2,2,2,2.14,0.48,,
mill                         ,3,2,3,1,2,2,2,2.14,0.48,,
widows_walk_indoor           ,1,2,3,2,3,2,2,2.14,0.48,,
winery                       ,3,2,2,1,3,2,2,2.14,0.48,,
widows_walk/interior         ,1,2,3,2,2,2,3,2.14,0.48,,
boxing_ring                  ,2,3,1,2,3,3,1,2.14,0.81,,
scrubland                    ,4,2,3,2,1,2,1,2.14,1.14,,
berth_deck                   ,2,2,2,2,2,2,2,2.00,0.00,,
byroad                       ,2,2,2,2,2,2,2,2.00,0.00,,
car_dealership               ,2,2,2,2,2,2,2,2.00,0.00,,
cheese_factory               ,2,2,2,2,2,2,2,2.00,0.00,,
cloakroom/room               ,2,2,2,2,2,2,2,2.00,0.00,,
escarpment                   ,2,2,2,2,2,2,2,2.00,0.00,,
fish_farm                    ,2,2,2,2,2,2,2,2.00,0.00,,
funeral_chapel               ,2,2,2,2,2,2,2,2.00,0.00,,
funeral_home                 ,2,2,2,2,2,2,2,2.00,0.00,,
grave                        ,2,2,2,2,2,2,2,2.00,0.00,,
junk_pile                    ,2,2,2,2,2,2,2,2.00,0.00,,
junkyard                     ,2,2,2,2,2,2,2,2.00,0.00,,
operating_room               ,2,2,2,2,2,2,2,2.00,0.00,,
operating_table              ,2,2,2,2,2,2,2,2.00,0.00,,
