scene,rater1,rater2,rater3,rater4,rater5
parking_garage/outdoor       ,3,2,3,3,2
parking_lot                  ,3,2,3,3,2
parkway                      ,5,2,3,2,2
parlor                       ,3,2,3,2,2
particle_accelerator         ,1,1,2,1,1
party_tent/indoor            ,5,4,2,1,4
party_tent/outdoor           ,5,4,2,1,4
passage/outdoor              ,3,3,2,2,3
pasture                      ,4,3,2,2,3
patio                        ,5,3,3,3,3
patio_indoor                 ,5,3,3,3,3
pavement                     ,3,3,3,3,3
pavilion                     ,5,3,3,2,3
pawnshop                     ,3,3,3,3,3
pawnshop_outdoor             ,3,3,3,3,3
pedestrian_overpass/indoor   ,4,3,3,4,3
pedestrian_overpass/outdoor  ,4,3,3,4,3
penalty_box                  ,3,1,3,3,1
penthouse                    ,4,2,3,2,2
perfume_shop                 ,3,2,3,2,2
pet_shop                     ,4,4,3,5,4
pharmacy                     ,3,3,3,3,3
phone_booth                  ,3,2,3,2,2
physics_laboratory           ,1,1,2,2,1
piano_store                  ,4,3,3,3,3
picnic_area                  ,5,5,3,4,5
pier                         ,4,3,3,4,3
pig_farm                     ,2,2,2,2,2
pilothouse/indoor            ,3,2,2,2,2
pilothouse/outdoor           ,3,2,2,2,2
pinetum                      ,3,2,3,2,2
piste_road                   ,3,3,3,2,3
pitchers_mound               ,3,2,3,3,2
pizzeria                     ,5,4,4,3,4
pizzeria_outdoor             ,5,4,4,3,4
planetarium/indoor           ,5,5,4,4,5
planetarium/outdoor          ,5,5,4,4,5
plantation_house             ,4,2,3,2,2
playground                   ,5,5,5,5,5
playroom                     ,5,5,5,5,5
plaza                        ,5,3,3,3,3
podium/indoor                ,3,3,3,3,3
podium/outdoor               ,3,3,3,3,3
police_station               ,2,2,2,2,2
pond                         ,4,2,3,3,2
pontoon_bridge               ,3,3,3,3,3
poolroom/establishment       ,4,2,2,2,2
poolroom/home                ,4,2,2,3,3
poop_deck                    ,3,2,2,3,2
porch                        ,5,3,3,3,3
portico                      ,3,2,3,2,2
portrait_studio              ,4,2,3,3,2
postern                      ,3,2,3,2,2
powder_room                  ,3,2,3,2,2
power_plant/indoor           ,2,1,2,1,1
power_plant/outdoor          ,2,1,2,1,1
preserve                     ,4,2,3,2,2
print_shop                   ,3,2,3,2,3
priory                       ,3,2,3,2,2
promenade                    ,4,4,3,2,4
promenade_deck               ,4,4,3,2,4
pub/indoor                   ,4,2,2,1,2
pub/outdoor                  ,4,3,2,1,3
pueblo                       ,4,3,3,3,3
pulpit                       ,3,2,2,2,2
pump_room                    ,2,1,2,1,1
pumping_station              ,4,2,2,1,2
putting_green                ,4,2,3,3,2
quadrangle                   ,2,2,3,2,2
quicksand                    ,1,2,2,1,2
quonset_hut/indoor           ,3,3,3,2,3
quonset_hut/outdoor          ,3,3,3,2,3
racecourse                   ,3,2,3,2,2
raceway                      ,3,2,3,2,2
raft                         ,3,3,3,3,3
railroad_track               ,1,2,2,2,2
railway_yard                 ,2,1,2,2,1
rain-wash                    ,2,2,3,2,2
rainforest                   ,3,2,3,2,2
ramp                         ,3,2,3,3,2
ranch                        ,4,4,3,3,4
ranch_house                  ,4,4,3,3,4
reading_room                 ,5,3,3,3,3
reception                    ,5,3,3,3,3
reception_room               ,5,3,3,3,3
recreation_room              ,5,3,4,3,3
rectory                      ,3,2,3,3,2
recycling_plant/indoor       ,2,1,2,2,1
recycling_plant/outdoor      ,2,1,2,2,1
refectory                    ,3,2,2,2,2
repair_shop                  ,3,2,2,2,2
residential_neighborhood     ,5,4,4,5,4
resort                       ,5,4,4,3,4
rest_area                    ,5,4,3,3,4
rest_stop                    ,5,4,3,3,4
restaurant                   ,5,4,3,4,4
restaurant_kitchen           ,2,2,3,2,2
restaurant_patio             ,5,4,3,3,4
restroom/indoor              ,5,3,3,4,3
restroom/outdoor             ,5,3,3,4,3
retaining_wall               ,3,1,2,2,1
revolving_door               ,3,2,3,3,2
rice_paddy                   ,4,2,2,2,2
riding_arena                 ,4,3,3,3,3
rift_valley                  ,3,2,3,2,2
river                        ,4,3,3,2,3
road                         ,2,3,3,3,3
road_cut                     ,2,2,3,2,2
rock_arch                    ,2,2,3,2,2
rock_garden                  ,2,4,3,2,4
roller_skating_rink/indoor   ,5,5,4,5,5
roller_skating_rink/outdoor  ,5,5,4,5,5
rolling_mill                 ,1,2,2,2,2
roof                         ,2,2,2,2,2
roof_garden                  ,3,4,3,3,4
root_cellar                  ,3,2,2,3,2
rope_bridge                  ,2,3,3,3,3
rotisserie                   ,2,3,2,1,3
roundabout                   ,2,2,3,2,2
roundhouse                   ,3,3,3,2,3
rubble                       ,2,2,2,2,2
ruin                         ,2,2,2,3,2
runway                       ,1,2,2,1,2
sacristy                     ,3,2,2,1,2
safari_park                  ,3,4,3,3,4
salad_bar                    ,4,3,3,4,3
salon                        ,3,2,3,3,2
saloon                       ,2,2,2,1,2
salt_plain                   ,2,2,2,1,2
sanatorium                   ,3,2,2,1,2
sand_trap                    ,3,2,2,1,2
sandbar                      ,3,3,3,3,3
sandbox                      ,5,5,5,5,2
sauna                        ,3,2,2,3,2
savanna                      ,3,2,3,2,2
sawmill                      ,2,1,2,1,3
schoolhouse                  ,5,5,5,5,3
schoolyard                   ,5,5,5,5,2
science_laboratory           ,3,2,2,3,2
science_museum               ,5,5,4,4,3
scriptorium                  ,3,2,3,2,2
scrubland                    ,4,2,3,2,1
scullery                     ,2,3,3,2,2
sea_cliff                    ,2,2,2,3,2
seaside                      ,5,4,3,3,2
seawall                      ,2,2,2,2,4
security_check_point         ,3,2,2,2,4
semidesert                   ,3,2,3,2,3
server_room                  ,2,1,2,2,3
sewer                        ,2,1,1,2,3
sewing_room                  ,3,2,3,2,3
shed                         ,3,3,3,3,2
shelter                      ,3,3,3,3,1
shelter_deck                 ,3,3,3,3,1
shelter_tent                 ,3,3,3,2,2
shipping_room                ,3,2,2,1,2
shipyard/outdoor             ,2,2,2,1,4
shoe_shop                    ,4,2,3,2,4
shopfront                    ,4,3,3,3,4
shopping_mall/indoor         ,5,4,3,5,4
shopping_mall/outdoor        ,5,4,3,5,4
shore                        ,5,3,3,4,2
shower                       ,5,3,3,5,4
shower_room                  ,5,3,3,5,3
shrine                       ,3,2,3,2,3
shrubbery                    ,3,2,3,2,1
sidewalk                     ,4,3,3,4,2
signal_box                   ,2,2,3,2,2
sinkhole                     ,2,2,2,1,3
ski_jump                     ,3,2,3,2,2
ski_lodge                    ,3,4,3,2,3
ski_resort                   ,3,4,3,2,3
ski_slope                    ,3,4,3,3,2
sky                          ,2,2,2,1,2
skyscraper                   ,3,2,3,2,4
skywalk/indoor               ,3,3,3,3,5
skywalk/outdoor              ,3,3,3,3,5
slum                         ,2,4,3,3,2
snack_bar                    ,3,3,3,4,2
snowbank                     ,3,2,3,4,4
snowfield                    ,3,2,3,4,2
spa/massage_room             ,3,2,2,2,3
spa/mineral_bath             ,3,2,2,2,3
spillway                     ,2,2,3,2,2
sporting_goods_store         ,4,3,4,4,3
squash_court                 ,4,2,3,2,2
stable                       ,3,3,3,3,2
stadium/baseball             ,5,4,4,4,2
stadium/football             ,5,4,4,4,2
stadium/outdoor              ,5,4,4,4,4
stadium/soccer               ,5,4,4,4,4
stage/indoor                 ,4,3,3,3,3
stage/outdoor                ,4,3,3,3,3
stage_set                    ,3,3,3,3,3
staircase                    ,4,3,3,3,3
stall                        ,4,3,2,2,3
starting_gate                ,3,2,2,1,2
stateroom                    ,3,2,2,1,2
steam_plant/outdoor          ,2,2,2,1,2
steel_mill/indoor            ,2,1,2,1,1
steel_mill/outdoor           ,2,1,2,1,1
stone_circle                 ,3,2,3,3,2
storage_room                 ,3,2,2,2,3
store                        ,4,4,3,3,4
storm_cellar                 ,2,3,2,3,3
strand                       ,4,3,2,2,3
street                       ,2,3,3,3,3
streetcar_track              ,2,2,3,1,2
strip_mall                   ,3,3,3,4,3
strip_mine                   ,2,2,1,1,2
student_center               ,5,3,3,5,3
student_residence            ,4,2,3,1,2
study_hall                   ,5,2,3,3,2
submarine_interior           ,2,1,2,2,1
subway_interior              ,3,4,3,3,4
subway_station/corridor      ,3,4,3,2,4
subway_station/platform      ,3,4,3,3,4
sugar_refinery               ,3,2,2,1,2
suite                        ,2,3,3,1,3
sun_deck                     ,5,3,3,3,3
sunroom                      ,2,3,3,3,3
supermarket                  ,4,3,3,4,3
supply_chamber               ,2,2,2,2,2
sushi_bar                    ,3,2,2,3,3
swamp                        ,2,2,3,2,2
swimming_hole                ,4,2,4,3,2
swimming_pool/indoor         ,4,4,4,3,4
swimming_pool/outdoor        ,4,4,4,3,4
synagogue/indoor             ,3,3,3,3,3
synagogue/outdoor            ,3,3,3,3,3
t-bar_lift                   ,4,4,2,2,4
tannery                      ,2,2,2,1,2
tap_house                    ,2,1,2,1,1
taxistand                    ,3,2,2,2,2
taxiway                      ,3,2,2,2,2
tea_garden                   ,4,2,3,2,2
teahouse                     ,4,2,3,3,2
tearoom                      ,4,2,3,3,2
teashop                      ,4,3,3,3,3
television_room              ,5,3,4,4,3
television_studio            ,3,3,3,2,3
temple/east_asia             ,3,3,3,2,3
temple/mesoamerican          ,3,3,3,1,3
temple/south_asia            ,3,3,3,2,3
temple/western               ,3,3,3,2,3
tennis_court/indoor          ,4,4,4,2,4
tennis_court/outdoor         ,4,4,4,2,4
tent/indoor                  ,5,3,4,3,3
tent/outdoor                 ,5,3,4,3,3
terrace_farm                 ,4,3,3,2,3
theater/indoor_procenium     ,4,4,4,3,4
theater/indoor_round         ,4,4,4,3,4
theater/indoor_seats         ,4,4,4,3,4
theater/outdoor              ,4,4,4,3,4
threshing_floor              ,2,2,2,2,2
thriftshop                   ,4,3,2,3,3
throne_room                  ,3,2,2,2,2
thunderhead                  ,1,2,2,2,2
ticket_booth                 ,4,2,3,3,2
ticket_window/indoor         ,4,3,3,3,3
ticket_window/outdoor        ,4,3,3,3,3
tidal_basin                  ,2,2,3,1,2
tidal_river                  ,2,2,2,1,2
tiltyard                     ,3,2,2,1,2
tobacco_shop/indoor          ,2,2,1,1,2
toll_plaza                   ,2,2,2,2,2
tollbooth                    ,2,2,2,1,2
tollgate                     ,2,2,2,1,2
tomb                         ,3,1,1,2,1
topiary_garden               ,4,2,3,3,2
torture_chamber              ,1,1,1,1,1
tower                        ,3,2,3,2,2
town_house                   ,4,3,3,3,3
toyshop                      ,5,5,5,5,5
track/indoor                 ,3,4,3,2,4
track/outdoor                ,3,4,3,2,4
tract_housing                ,3,3,2,2,3
trading_floor                ,2,2,1,2,2
traffic_island               ,4,2,2,2,2
trailer_park                 ,5,4,3,2,4
train_interior               ,5,4,3,3,4
train_railway                ,3,2,2,1,2
train_station/outdoor        ,5,3,3,3,3
train_station/platform       ,5,3,3,3,3
train_station/station        ,3,3,3,3,3
tree_farm                    ,4,2,3,3,2
tree_house                   ,5,5,5,5,5
trellis                      ,2,2,2,2,2
trench                       ,2,1,2,2,1
trestle_bridge               ,3,2,3,2,2
truck_stop                   ,3,2,2,2,2
tundra                       ,2,2,2,2,2
tunnel/rail_indoor           ,1,2,2,1,2
tunnel/rail_outdoor          ,1,2,2,1,2
tunnel/road_indoor           ,1,2,2,2,2
tunnel/road_outdoor          ,1,2,2,2,2
tunnel/waterway              ,2,2,2,1,2
turkish_bath                 ,3,2,2,1,2
underwater/coral_reef        ,3,2,2,3,2
underwater/ocean_deep        ,2,2,2,1,2
underwater/ocean_shallow     ,3,2,4,3,2
underwater/pool              ,4,3,4,5,3
upper_balcony                ,2,3,3,4,3
utility_room                 ,1,2,2,2,2
valley                       ,4,2,3,3,2
van_interior                 ,5,3,2,4,3
vat                          ,2,2,2,1,2
vegetable_garden             ,5,2,3,3,2
velodrome/indoor             ,3,2,2,2,2
velodrome/outdoor            ,3,2,2,2,2
ventilation_shaft            ,1,2,2,1,2
veranda                      ,4,3,3,1,3
vestibule                    ,4,2,3,2,2
vestry                       ,4,2,3,2,2
veterinarians_office         ,3,3,3,3,3
viaduct                      ,2,2,2,1,2
victory_garden               ,4,2,3,2,2
videostore                   ,4,2,4,5,2
village                      ,5,4,3,4,4
vinery                       ,5,2,2,2,2
vineyard                     ,4,2,2,3,2
volcano                      ,1,2,2,2,2
volleyball_court/indoor      ,4,4,4,3,4
volleyball_court/outdoor     ,4,4,4,3,4
voting_booth                 ,2,1,2,1,1
waiting_room                 ,5,3,3,3,3
walk_in_freezer              ,1,2,2,1,2
walkway                      ,5,2,3,3,2
war_room                     ,1,2,1,1,2
warehouse/indoor             ,1,2,2,1,2
warehouse/outdoor            ,2,2,2,1,2
washhouse/indoor             ,5,3,3,1,3
washhouse/outdoor            ,5,3,3,1,3
washroom                     ,5,3,3,3,3
watchtower                   ,1,2,3,2,2
water_fountain               ,4,3,4,5,3
water_gate                   ,1,2,3,2,2
water_mill                   ,2,2,3,2,2
water_park                   ,5,5,5,5,5
water_tower                  ,1,2,1,2,2
water_treatment_plant/indoor ,1,1,1,1,1
water_treatment_plant/outdoor,1,1,1,1,1
waterfall/block              ,2,2,2,3,2
waterfall/cascade            ,2,2,3,3,2
waterfall/cataract           ,2,2,2,2,2
waterfall/fan                ,2,2,2,2,3
waterfall/frozen             ,1,2,2,2,2
waterfall/plunge             ,1,2,2,3,2
watering_hole                ,1,1,3,2,1
waterscape                   ,3,2,3,3,2
waterway                     ,2,2,3,2,3
wave                         ,2,2,3,3,2
weighbridge                  ,3,2,3,1,2
wet_bar                      ,1,2,2,1,3
wetland                      ,3,2,3,2,3
wharf                        ,3,2,3,2,2
wheat_field                  ,3,2,3,2,3
whispering_gallery           ,2,2,2,2,2
widows_walk/exterior         ,1,2,3,2,2
widows_walk/interior         ,1,2,3,2,2
widows_walk_indoor           ,1,2,3,2,3
wind_farm                    ,3,2,2,2,3
windmill                     ,3,2,3,3,2
window_seat                  ,4,3,3,3,3
windstorm                    ,1,2,2,2,2
wine_cellar/barrel_storage   ,2,2,1,1,2
wine_cellar/bottle_storage   ,1,2,1,1,2
winery                       ,3,2,2,1,3
witness_stand                ,2,2,1,2,2
woodland                     ,5,2,2,3,3
workroom                     ,2,2,2,2,2
workshop                     ,2,2,2,2,3
wrestling_ring/indoor        ,3,2,3,2,2
wrestling_ring/outdoor       ,2,2,3,2,2
yard                         ,5,4,4,4,4
youth_hostel                 ,3,4,4,1,4
zen_garden                   ,3,3,3,2,3
ziggurat                     ,3,2,2,3,2
zoo                          ,5,5,5,5,5
